subscription_id,user_id,plan,monthly_price,trial_start_date,paid_start_date,end_date,status
326,469,Standard,12,3/5/24,3/19/24,4/4/24,churned
327,471,Standard,12,6/13/24,6/27/24,7/25/24,churned
328,475,Standard,12,4/26/24,,5/10/24,trial_expired
329,477,Pro,24,6/20/24,7/4/24,7/29/24,churned
330,478,Standard,12,8/24/24,,9/7/24,trial_expired
331,479,Standard,12,9/4/24,,9/18/24,trial_expired
332,481,Pro,24,6/15/24,,6/29/24,trial_expired
333,482,Pro,24,4/2/24,,4/16/24,trial_expired
334,483,Standard,12,8/16/24,8/30/24,,active
335,484,Standard,12,5/9/24,,5/23/24,trial_expired
336,488,Standard,12,4/5/24,,4/19/24,trial_expired
337,489,Standard,12,8/13/24,,8/27/24,trial_expired
338,493,Standard,12,9/10/24,9/24/24,10/20/24,churned
339,494,Standard,12,5/9/24,,5/23/24,trial_expired
340,495,Standard,12,10/24/24,11/7/24,,active
341,496,Pro,24,8/4/24,,8/18/24,trial_expired
342,497,Standard,12,6/22/24,7/6/24,,active
343,500,Standard,12,7/22/24,,8/5/24,trial_expired
344,501,Standard,12,10/8/24,,10/22/24,trial_expired
345,502,Pro,24,11/25/24,12/9/24,,active
346,503,Pro,24,12/6/24,,12/20/24,trial_expired
347,506,Standard,12,10/29/24,,11/12/24,trial_expired
348,507,Standard,12,5/9/24,,5/23/24,trial_expired
349,508,Standard,12,11/9/24,11/23/24,12/21/24,churned
350,510,Standard,12,2/20/24,,3/5/24,trial_expired
351,511,Standard,12,1/31/24,2/14/24,,active
352,513,Pro,24,1/25/24,,2/8/24,trial_expired
353,514,Standard,12,4/26/24,,5/10/24,trial_expired
354,515,Standard,12,5/15/24,,5/29/24,trial_expired
355,516,Standard,12,3/14/24,3/28/24,,active
356,519,Standard,12,1/7/24,,1/21/24,trial_expired
357,520,Standard,12,11/5/24,,11/19/24,trial_expired
358,521,Standard,12,11/17/24,12/1/24,12/30/24,churned
359,522,Standard,12,5/30/24,,6/13/24,trial_expired
360,523,Pro,24,3/6/24,,3/20/24,trial_expired
361,524,Standard,12,8/22/24,,9/5/24,trial_expired
362,526,Standard,12,5/29/24,,6/12/24,trial_expired
363,527,Standard,12,12/19/24,,1/2/25,trial_expired
364,528,Standard,12,12/30/24,,1/13/25,trial_expired
365,529,Standard,12,10/19/24,,11/2/24,trial_expired
366,531,Standard,12,9/20/24,,10/4/24,trial_expired
367,533,Pro,24,6/6/24,6/20/24,,active
368,534,Standard,12,9/4/24,,9/18/24,trial_expired
369,536,Standard,12,3/29/24,,4/12/24,trial_expired
370,537,Standard,12,7/26/24,,8/9/24,trial_expired
371,538,Standard,12,3/12/24,,3/26/24,trial_expired
372,541,Standard,12,12/27/24,1/10/25,2/2/25,churned
373,542,Standard,12,8/5/24,,8/19/24,trial_expired
374,544,Standard,12,12/29/24,,1/12/25,trial_expired
375,545,Standard,12,2/29/24,,3/14/24,trial_expired
376,546,Standard,12,6/29/24,7/13/24,,active
377,549,Standard,12,10/13/24,10/27/24,,active
378,551,Standard,12,7/7/24,,7/21/24,trial_expired
379,553,Pro,24,3/17/24,,3/31/24,trial_expired
380,554,Standard,12,12/1/24,,12/15/24,trial_expired
381,555,Standard,12,1/21/24,,2/4/24,trial_expired
382,556,Pro,24,4/6/24,,4/20/24,trial_expired
383,558,Standard,12,7/14/24,,7/28/24,trial_expired
384,559,Standard,12,8/17/24,8/31/24,9/20/24,churned
385,560,Standard,12,7/14/24,,7/28/24,trial_expired
386,561,Standard,12,2/8/24,,2/22/24,trial_expired
387,562,Standard,12,4/10/24,,4/24/24,trial_expired
388,563,Pro,24,11/12/24,,11/26/24,trial_expired
389,565,Pro,24,9/8/24,,9/22/24,trial_expired
390,566,Pro,24,9/16/24,,9/30/24,trial_expired
391,567,Standard,12,10/15/24,10/29/24,,active
392,568,Standard,12,1/26/24,,2/9/24,trial_expired
393,570,Standard,12,7/30/24,,8/13/24,trial_expired
394,571,Standard,12,5/18/24,,6/1/24,trial_expired
395,572,Pro,24,11/11/24,,11/25/24,trial_expired
396,573,Pro,24,7/11/24,7/25/24,,active
397,576,Standard,12,7/18/24,,8/1/24,trial_expired
398,577,Standard,12,12/4/24,,12/18/24,trial_expired
399,580,Standard,12,5/20/24,,6/3/24,trial_expired
400,581,Standard,12,7/16/24,,7/30/24,trial_expired
401,582,Standard,12,7/27/24,8/10/24,,active
402,584,Standard,12,6/10/24,6/24/24,,active
403,585,Standard,12,12/5/24,12/19/24,1/4/25,churned
404,587,Standard,12,3/16/24,,3/30/24,trial_expired
405,589,Standard,12,3/23/24,,4/6/24,trial_expired
406,590,Standard,12,1/12/24,,1/26/24,trial_expired
407,591,Standard,12,12/8/24,,12/22/24,trial_expired
408,593,Pro,24,5/6/24,,5/20/24,trial_expired
409,594,Standard,12,8/20/24,9/3/24,,active
410,595,Pro,24,1/5/24,,1/19/24,trial_expired
411,596,Standard,12,4/26/24,,5/10/24,trial_expired
412,597,Standard,12,9/25/24,,10/9/24,trial_expired
413,598,Standard,12,9/1/24,,9/15/24,trial_expired
414,599,Standard,12,12/27/24,1/10/25,,active
415,600,Standard,12,8/29/24,,9/12/24,trial_expired
416,601,Standard,12,7/10/24,,7/24/24,trial_expired
417,602,Standard,12,10/16/24,,10/30/24,trial_expired
418,603,Standard,12,12/2/24,,12/16/24,trial_expired
419,604,Standard,12,10/1/24,,10/15/24,trial_expired
420,605,Pro,24,12/19/24,1/2/25,1/19/25,churned
421,606,Pro,24,10/21/24,,11/4/24,trial_expired
422,607,Pro,24,11/18/24,,12/2/24,trial_expired
423,608,Standard,12,2/20/24,,3/5/24,trial_expired
424,610,Pro,24,6/24/24,,7/8/24,trial_expired
425,611,Standard,12,8/5/24,,8/19/24,trial_expired
426,612,Pro,24,9/9/24,9/23/24,,active
427,613,Pro,24,12/22/24,,1/5/25,trial_expired
428,614,Standard,12,12/26/24,1/9/25,2/4/25,churned
429,616,Pro,24,10/6/24,,10/20/24,trial_expired
430,617,Standard,12,10/11/24,10/25/24,,active
431,618,Standard,12,5/22/24,6/5/24,6/23/24,churned
432,619,Standard,12,2/24/24,3/9/24,,active
433,625,Pro,24,12/25/24,,1/8/25,trial_expired
434,626,Standard,12,6/15/24,6/29/24,,active
435,627,Pro,24,10/27/24,11/10/24,,active
436,629,Pro,24,8/6/24,,8/20/24,trial_expired
437,632,Standard,12,11/6/24,11/20/24,12/6/24,churned
438,633,Standard,12,1/16/24,,1/30/24,trial_expired
439,635,Pro,24,1/24/24,,2/7/24,trial_expired
440,636,Standard,12,2/16/24,,3/1/24,trial_expired
441,637,Standard,12,9/18/24,10/2/24,,active
442,638,Standard,12,9/30/24,,10/14/24,trial_expired
443,639,Standard,12,10/20/24,,11/3/24,trial_expired
444,640,Standard,12,11/18/24,,12/2/24,trial_expired
445,641,Pro,24,10/8/24,,10/22/24,trial_expired
446,642,Standard,12,10/30/24,,11/13/24,trial_expired
447,643,Standard,12,1/24/24,,2/7/24,trial_expired
448,644,Standard,12,4/8/24,,4/22/24,trial_expired
449,646,Pro,24,11/16/24,11/30/24,12/15/24,churned
450,647,Pro,24,1/4/24,,1/18/24,trial_expired
451,648,Standard,12,7/22/24,,8/5/24,trial_expired
452,649,Pro,24,9/18/24,,10/2/24,trial_expired
453,650,Standard,12,1/13/24,1/27/24,,active
454,652,Pro,24,11/28/24,,12/12/24,trial_expired
455,654,Standard,12,4/10/24,,4/24/24,trial_expired
456,655,Standard,12,11/14/24,,11/28/24,trial_expired
457,658,Standard,12,5/3/24,,5/17/24,trial_expired
458,659,Pro,24,8/18/24,,9/1/24,trial_expired
459,660,Standard,12,6/8/24,,6/22/24,trial_expired
460,661,Standard,12,4/24/24,5/8/24,,active
461,663,Standard,12,3/19/24,4/2/24,4/19/24,churned
462,664,Standard,12,2/7/24,,2/21/24,trial_expired
463,665,Pro,24,5/21/24,,6/4/24,trial_expired
464,666,Standard,12,10/2/24,,10/16/24,trial_expired
465,667,Standard,12,10/30/24,,11/13/24,trial_expired
466,668,Standard,12,12/31/24,,1/14/25,trial_expired
467,671,Standard,12,2/27/24,,3/12/24,trial_expired
468,672,Standard,12,8/14/24,,8/28/24,trial_expired
469,674,Standard,12,9/25/24,,10/9/24,trial_expired
470,675,Standard,12,8/21/24,,9/4/24,trial_expired
471,679,Standard,12,2/28/24,,3/13/24,trial_expired
472,680,Pro,24,5/28/24,,6/11/24,trial_expired
473,683,Standard,12,1/9/24,,1/23/24,trial_expired
474,684,Standard,12,7/1/24,,7/15/24,trial_expired
475,687,Standard,12,6/17/24,,7/1/24,trial_expired
476,690,Pro,24,7/31/24,8/14/24,8/29/24,churned
477,691,Standard,12,4/28/24,,5/12/24,trial_expired
478,693,Standard,12,4/9/24,,4/23/24,trial_expired
479,695,Pro,24,12/2/24,,12/16/24,trial_expired
480,696,Standard,12,7/26/24,,8/9/24,trial_expired
481,697,Pro,24,10/8/24,,10/22/24,trial_expired
482,699,Standard,12,9/8/24,,9/22/24,trial_expired
483,701,Pro,24,4/12/24,,4/26/24,trial_expired
484,703,Standard,12,3/6/24,,3/20/24,trial_expired
485,706,Pro,24,8/8/24,,8/22/24,trial_expired
486,707,Standard,12,10/24/24,11/7/24,,active
487,709,Standard,12,6/24/24,,7/8/24,trial_expired
488,710,Standard,12,7/8/24,,7/22/24,trial_expired
