user_id,variant,signup_date,device,country,acquisition_channel,pre_engagement_7d,trial_started,converted,retained,plan,revenue
52,A,2024-01-03,mobile,DE,Organic,7,1,0,0,Standard,0
53,B,2024-10-23,desktop,DE,Organic,8,1,1,1,Standard,24.00
54,B,2024-09-12,mobile,US,Social,6,1,0,0,Standard,0
55,A,2024-09-25,mobile,UK,Organic,7,1,0,0,Standard,0
56,A,2024-10-21,desktop,US,Organic,8,1,1,0,Standard,12.00
57,A,2024-07-01,mobile,CA,Referral,12,1,1,1,Standard,72.00
58,B,2024-08-09,mobile,BR,Organic,7,1,0,0,Standard,0
59,A,2024-02-29,desktop,BR,Social,12,1,1,1,Pro,240.00
60,A,2024-02-18,desktop,UK,Paid Search,3,1,0,0,Standard,0
61,A,2024-09-13,mobile,IN,Organic,8,1,1,1,Standard,48.00
62,B,2024-07-05,desktop,US,Email,11,0,0,0,NULL,0
63,B,2024-08-08,mobile,US,Referral,15,0,0,0,NULL,0
64,A,2024-10-16,desktop,US,Organic,8,1,1,1,Standard,36.00
65,B,2024-09-02,mobile,NULL,Social,13,1,0,0,Standard,0
66,A,2024-08-04,mobile,IN,Organic,9,1,0,0,Pro,0
67,B,2024-08-06,mobile,US,Organic,8,1,0,0,Standard,0
68,B,2024-05-04,mobile,CA,Paid Search,11,1,0,0,Pro,0
69,B,2024-01-14,desktop,CA,Paid Search,6,1,0,0,Standard,0
70,B,2024-06-23,desktop,IN,Paid Search,7,0,0,0,NULL,0
71,A,2024-03-30,mobile,DE,Social,9,0,0,0,NULL,0
72,A,2024-06-12,mobile,CA,Organic,3,0,0,0,NULL,0
73,A,2024-11-14,desktop,US,Email,6,1,0,0,Standard,0
74,A,2024-04-07,desktop,CA,Paid Search,7,1,1,1,Standard,108.00
75,B,2024-01-25,mobile,DE,Paid Search,12,1,0,0,Pro,0
76,A,2024-04-25,mobile,NULL,Referral,11,1,0,0,Pro,0
77,B,2024-04-30,mobile,IN,Paid Search,9,1,1,0,Standard,12.00
78,B,2024-09-11,mobile,US,Organic,10,0,0,0,NULL,0
79,A,2024-08-05,desktop,US,Paid Search,13,1,0,0,Standard,0
80,B,2024-10-22,desktop,BR,Paid Search,10,1,0,0,Standard,0
81,B,2024-09-12,mobile,BR,Organic,9,0,0,0,NULL,0
82,B,2024-06-12,desktop,UK,Organic,13,0,0,0,NULL,0
83,A,2024-11-01,mobile,US,Paid Search,7,1,0,0,Standard,0
84,A,2024-03-11,mobile,US,Paid Search,8,1,0,0,Standard,0
85,B,2024-01-10,mobile,IN,Organic,4,1,0,0,Standard,0
86,A,2024-02-08,mobile,US,Paid Search,5,0,0,0,NULL,0
87,A,2024-10-01,mobile,UK,Email,10,0,0,0,NULL,0
88,B,2024-07-02,mobile,US,Referral,8,1,0,0,Pro,0
89,B,2024-03-08,mobile,BR,Paid Search,8,1,0,0,Pro,0
90,A,2024-07-16,mobile,US,Organic,5,0,0,0,NULL,0
91,A,2024-03-05,mobile,US,Paid Search,1,0,0,0,NULL,0
92,A,2024-09-23,mobile,US,Paid Search,11,0,0,0,NULL,0
93,B,2024-06-26,desktop,US,Email,8,1,1,1,Standard,72.00
94,A,2024-06-02,mobile,US,Paid Search,12,0,0,0,NULL,0
95,B,2024-05-03,desktop,UK,Social,9,1,0,0,Standard,0
96,B,2024-08-31,mobile,DE,Social,17,1,0,0,Standard,0
97,A,2024-05-26,mobile,CA,Social,8,0,0,0,NULL,0
98,A,2024-02-07,mobile,CA,Organic,6,0,0,0,NULL,0
99,B,2024-02-20,mobile,BR,Paid Search,6,1,0,0,Standard,0
100,A,2024-12-18,desktop,US,Social,7,1,1,0,Standard,12.00
101,A,2024-12-02,mobile,NULL,Social,5,1,1,1,Standard,12.00
102,B,2024-09-24,mobile,US,Organic,11,1,0,0,Pro,0
103,B,2024-04-19,mobile,UK,Paid Search,12,1,0,0,Standard,0
104,B,2024-12-21,mobile,CA,Paid Search,3,1,0,0,Standard,0
105,B,2024-10-20,mobile,UK,Paid Search,8,1,0,0,Standard,0
106,A,2024-09-30,mobile,US,Paid Search,7,1,0,0,Pro,0
107,B,2024-06-27,mobile,US,Organic,15,1,0,0,Pro,0
108,B,2024-04-22,desktop,DE,Social,9,0,0,0,NULL,0
109,A,2024-02-11,mobile,DE,Referral,8,0,0,0,NULL,0
110,B,2024-11-29,desktop,CA,Referral,12,0,0,0,NULL,0
111,A,2024-06-30,desktop,US,Social,13,1,1,0,Standard,12.00
112,A,2024-03-25,desktop,US,Referral,8,1,0,0,Standard,0
113,A,2024-05-05,desktop,US,Organic,8,1,0,0,Standard,0
114,A,2024-08-13,desktop,IN,Social,12,1,0,0,Pro,0
115,A,2024-03-15,mobile,US,Organic,3,1,1,1,Standard,120.00
116,B,2024-11-15,mobile,US,Email,4,0,0,0,NULL,0
117,B,2024-10-14,desktop,UK,Paid Search,11,1,0,0,Pro,0
118,A,2024-09-30,mobile,US,Referral,15,1,0,0,Standard,0
119,A,2024-06-21,mobile,US,Organic,10,0,0,0,NULL,0
120,A,2024-08-30,mobile,IN,Organic,7,0,0,0,NULL,0
121,A,2024-08-15,desktop,CA,Organic,5,1,1,1,Pro,120.00
122,A,2024-09-07,mobile,US,Paid Search,5,1,0,0,Pro,0
123,A,2024-02-06,desktop,IN,Social,7,1,0,0,Standard,0
124,B,2024-06-15,mobile,US,Organic,7,1,0,0,Standard,0
125,A,2024-01-18,mobile,US,Organic,15,0,0,0,NULL,0
126,B,2024-07-14,mobile,DE,Social,12,1,0,0,Pro,0
127,A,2024-05-14,mobile,US,Organic,8,1,1,1,Standard,96.00
128,A,2024-03-02,mobile,UK,Social,2,0,0,0,NULL,0
129,B,2024-02-14,mobile,US,Paid Search,10,0,0,0,NULL,0
130,B,2024-08-16,mobile,IN,Organic,7,0,0,0,NULL,0
131,A,2024-03-12,mobile,US,Paid Search,9,0,0,0,NULL,0
132,A,2024-12-07,mobile,US,Social,6,1,0,0,Standard,0
133,A,2024-08-14,desktop,IN,Social,14,1,1,1,Standard,60.00
134,B,2024-05-21,mobile,BR,Social,4,1,0,0,Standard,0
135,B,2024-08-17,mobile,US,Organic,9,0,0,0,NULL,0
136,B,2024-01-10,mobile,IN,Paid Search,8,1,0,0,Standard,0
137,B,2024-12-17,mobile,US,Organic,5,0,0,0,NULL,0
138,A,2024-07-10,desktop,UK,Organic,11,1,0,0,Standard,0
139,B,2024-10-22,desktop,BR,Paid Search,10,0,0,0,NULL,0
140,A,2024-02-05,mobile,IN,Referral,10,0,0,0,NULL,0
141,A,2024-07-11,mobile,DE,Social,9,0,0,0,NULL,0
142,B,2024-07-13,desktop,DE,Organic,11,1,0,0,Pro,0
143,A,2024-12-11,mobile,NULL,Referral,8,1,0,0,Pro,0
144,B,2024-08-11,mobile,US,Organic,12,0,0,0,NULL,0
145,A,2024-07-06,desktop,UK,Paid Search,9,0,0,0,NULL,0
146,A,2024-04-20,desktop,US,Organic,9,1,1,1,Standard,108.00
147,A,2024-05-15,mobile,US,Organic,6,0,0,0,NULL,0
148,A,2024-07-23,mobile,IN,Social,8,0,0,0,NULL,0
149,A,2024-06-24,desktop,IN,Organic,8,1,0,0,Pro,0
150,A,2024-01-10,mobile,UK,Paid Search,10,1,0,0,Pro,0
151,B,2024-11-05,desktop,NULL,Paid Search,8,1,1,0,Pro,24.00
152,B,2024-11-27,mobile,US,Social,15,1,0,0,Pro,0
153,A,2024-02-29,mobile,US,Organic,8,1,0,0,Standard,0
154,B,2024-08-04,mobile,CA,Referral,10,1,0,0,Standard,0
155,B,2024-02-16,mobile,DE,Paid Search,9,1,0,0,Pro,0
156,A,2024-09-14,mobile,US,Social,10,0,0,0,NULL,0
157,B,2024-04-25,desktop,US,Organic,3,0,0,0,NULL,0
158,A,2024-09-10,desktop,US,Paid Search,17,0,0,0,NULL,0
159,B,2024-10-03,desktop,IN,Organic,8,1,0,0,Standard,0
160,A,2024-10-17,desktop,US,Social,19,1,1,1,Pro,48.00
161,A,2024-02-15,mobile,CA,Email,6,1,0,0,Standard,0
162,B,2024-12-04,mobile,DE,Email,12,0,0,0,NULL,0
163,A,2024-04-05,mobile,IN,Organic,12,1,0,0,Standard,0
164,B,2024-01-17,desktop,IN,Referral,10,1,1,0,Standard,12.00
165,B,2024-08-05,mobile,IN,Organic,5,1,0,0,Standard,0
166,A,2024-05-29,mobile,US,Organic,8,1,0,0,Standard,0
167,A,2024-11-06,desktop,UK,Paid Search,10,1,0,0,Standard,0
168,B,2024-10-30,desktop,UK,Referral,7,0,0,0,NULL,0
169,A,2024-05-09,desktop,US,Email,10,0,0,0,NULL,0
170,B,2024-12-16,mobile,US,Paid Search,4,0,0,0,NULL,0
171,A,2024-04-29,mobile,IN,Organic,6,1,0,0,Standard,0
172,A,2024-07-22,mobile,DE,Paid Search,12,1,0,0,Standard,0
173,B,2024-04-15,mobile,US,Organic,3,0,0,0,NULL,0
174,B,2024-12-10,mobile,US,Organic,9,0,0,0,NULL,0
175,A,2024-03-10,desktop,US,Organic,15,1,0,0,Standard,0
176,A,2024-01-20,desktop,US,Organic,5,1,0,0,Pro,0
177,B,2024-06-22,mobile,UK,Social,6,1,0,0,Standard,0
178,A,2024-12-28,mobile,US,Paid Search,5,0,0,0,NULL,0
179,B,2024-11-26,mobile,US,Social,2,1,0,0,Standard,0
180,B,2024-10-10,desktop,DE,Social,14,0,0,0,NULL,0
181,B,2024-11-26,mobile,US,Referral,7,1,0,0,Standard,0
182,B,2024-11-27,desktop,US,Organic,8,1,1,1,Standard,12.00
183,B,2024-07-23,mobile,US,Email,7,0,0,0,NULL,0
184,A,2024-05-09,desktop,CA,Organic,11,1,1,0,Pro,24.00
185,B,2024-10-18,desktop,DE,Paid Search,10,0,0,0,NULL,0
186,B,2024-09-11,mobile,CA,Paid Search,7,1,0,0,Standard,0
187,A,2024-05-30,desktop,IN,Social,8,1,0,0,Pro,0
188,B,2024-02-10,mobile,IN,Paid Search,15,1,0,0,Pro,0
189,B,2024-10-09,desktop,IN,Organic,19,1,0,0,Pro,0
190,B,2024-04-18,mobile,BR,Referral,9,0,0,0,NULL,0
191,A,2024-12-10,desktop,BR,Organic,15,1,0,0,Standard,0
192,A,2024-04-09,desktop,CA,Referral,6,0,0,0,NULL,0
193,B,2024-02-22,mobile,DE,Organic,8,1,1,1,Standard,120.00
194,B,2024-11-06,mobile,IN,Referral,12,1,1,1,Standard,24.00
195,A,2024-03-05,desktop,IN,Paid Search,8,0,0,0,NULL,0
196,B,2024-03-16,desktop,CA,Paid Search,11,0,0,0,NULL,0
197,A,2024-08-20,mobile,US,Paid Search,10,1,0,0,Pro,0
198,A,2024-11-20,desktop,UK,Organic,5,0,0,0,NULL,0
199,B,2024-03-23,mobile,IN,Paid Search,5,1,0,0,Standard,0
200,A,2024-05-07,desktop,BR,Organic,8,1,0,0,Standard,0
201,B,2024-10-20,desktop,US,Paid Search,8,1,0,0,Pro,0
202,A,2024-12-22,desktop,UK,Organic,6,1,0,0,Standard,0
203,B,2024-07-16,mobile,US,Paid Search,7,0,0,0,NULL,0
204,B,2024-03-01,mobile,NULL,Organic,3,1,0,0,Standard,0
205,B,2024-01-06,desktop,CA,Social,9,1,0,0,Pro,0
206,B,2024-04-05,mobile,DE,Organic,3,1,0,0,Standard,0
207,B,2024-02-26,mobile,DE,Social,7,1,0,0,Pro,0
208,A,2024-09-16,mobile,IN,Organic,7,1,0,0,Standard,0
209,A,2024-02-21,desktop,IN,Paid Search,8,1,0,0,Standard,0
210,A,2024-07-18,mobile,US,Organic,8,1,0,0,Pro,0
211,B,2024-09-22,desktop,BR,Organic,14,1,0,0,Standard,0
212,B,2024-08-14,mobile,UK,Social,7,1,0,0,Standard,0
213,A,2024-03-24,desktop,US,Paid Search,2,1,0,0,Pro,0
214,A,2024-10-29,desktop,DE,Email,6,1,1,1,Pro,48.00
215,B,2024-09-29,mobile,UK,Referral,6,1,0,0,Standard,0
216,B,2024-10-07,mobile,UK,Organic,12,1,1,0,Pro,24.00
217,A,2024-02-25,mobile,US,Email,9,0,0,0,NULL,0
218,B,2024-02-22,mobile,US,Paid Search,10,1,1,1,Pro,240.00
219,B,2024-12-08,desktop,IN,Social,8,1,1,1,Standard,12.00
220,B,2024-06-09,desktop,US,Paid Search,5,0,0,0,NULL,0
221,A,2024-05-03,desktop,UK,Organic,7,1,0,0,Standard,0
222,A,2024-07-12,desktop,UK,Paid Search,7,0,0,0,NULL,0
223,B,2024-09-11,desktop,US,Social,9,1,0,0,Standard,0
224,B,2024-12-17,mobile,IN,Organic,10,0,0,0,NULL,0
225,A,2024-04-27,desktop,DE,Referral,10,0,0,0,NULL,0
226,A,2024-12-07,desktop,UK,Email,7,1,0,0,Pro,0
227,B,2024-01-11,mobile,US,Paid Search,12,0,0,0,NULL,0
228,A,2024-08-05,mobile,IN,Email,9,0,0,0,NULL,0
229,A,2024-09-01,mobile,IN,Organic,8,1,1,1,Standard,48.00
230,A,2024-02-15,mobile,US,Social,13,1,0,0,Standard,0
231,A,2024-02-29,desktop,US,Organic,8,1,0,0,Standard,0
232,A,2024-06-17,mobile,US,Social,11,1,0,0,Pro,0
233,A,2024-12-20,mobile,US,Social,11,1,0,0,Standard,0
234,A,2024-08-19,mobile,US,Organic,3,1,0,0,Pro,0
235,A,2024-12-09,mobile,BR,Social,11,1,1,1,Standard,12.00
236,B,2024-10-29,mobile,IN,Email,7,1,1,0,Standard,12.00
237,A,2024-07-04,desktop,US,Social,6,0,0,0,NULL,0
238,B,2024-10-22,desktop,US,Email,9,1,0,0,Standard,0
239,A,2024-01-08,desktop,US,Social,9,1,1,1,Standard,144.00
240,B,2024-02-16,desktop,US,Organic,6,0,0,0,NULL,0
241,B,2024-11-06,mobile,DE,Social,15,0,0,0,NULL,0
242,B,2024-10-26,desktop,IN,Referral,6,1,0,0,Standard,0
243,B,2024-04-06,desktop,BR,Paid Search,12,1,1,0,Standard,12.00
244,A,2024-07-27,mobile,US,Paid Search,10,1,0,0,Pro,0
245,B,2024-08-22,mobile,US,Paid Search,4,0,0,0,NULL,0
246,A,2024-11-18,desktop,DE,Social,7,1,1,1,Standard,12.00
247,A,2024-08-21,mobile,UK,Social,5,1,0,0,Standard,0
248,A,2024-06-14,desktop,UK,Social,6,1,1,0,Standard,12.00
249,B,2024-05-31,mobile,US,Paid Search,12,1,1,0,Standard,12.00
250,A,2024-06-19,mobile,US,Paid Search,9,1,0,0,Standard,0
251,A,2024-09-07,mobile,US,Organic,12,1,0,0,Pro,0
252,A,2024-11-18,desktop,US,Referral,8,1,0,0,Standard,0
253,A,2024-06-29,mobile,UK,Social,12,0,0,0,NULL,0
254,B,2024-04-12,mobile,CA,Social,14,1,0,0,Pro,0
255,B,2024-04-08,desktop,BR,Paid Search,10,1,0,0,Standard,0
256,A,2024-10-09,desktop,US,Social,19,1,0,0,Pro,0
257,B,2024-11-02,mobile,US,Referral,7,1,0,0,Standard,0
258,B,2024-02-14,mobile,DE,Email,6,1,0,0,Standard,0
259,B,2024-01-29,desktop,US,Social,9,1,0,0,Pro,0
260,A,2024-08-19,mobile,IN,Organic,5,1,1,1,Pro,120.00
261,B,2024-03-02,mobile,US,Social,5,1,1,0,Standard,12.00
262,B,2024-11-04,mobile,US,Organic,8,1,0,0,Standard,0
263,B,2024-05-07,desktop,US,Social,8,0,0,0,NULL,0
264,B,2024-03-01,desktop,NULL,Social,9,0,0,0,NULL,0
265,A,2024-12-05,mobile,CA,Social,13,0,0,0,NULL,0
266,B,2024-03-10,desktop,UK,Paid Search,5,1,1,1,Standard,120.00
267,B,2024-04-26,mobile,US,Social,6,1,0,0,Standard,0
268,A,2024-03-05,mobile,US,Paid Search,5,1,1,0,Standard,12.00
269,A,2024-02-19,mobile,IN,Social,6,0,0,0,NULL,0
270,A,2024-01-10,mobile,IN,Email,9,1,0,0,Standard,0
271,B,2024-01-24,mobile,UK,Paid Search,9,1,1,0,Standard,12.00
272,B,2024-03-14,mobile,US,Referral,7,1,1,0,Standard,12.00
273,A,2024-01-23,desktop,IN,Referral,14,1,1,1,Pro,264.00
274,B,2024-08-17,mobile,UK,Social,12,1,0,0,Standard,0
275,B,2024-09-17,mobile,US,Paid Search,9,1,0,0,Standard,0
276,B,2024-06-07,mobile,BR,Email,12,0,0,0,NULL,0
277,A,2024-05-09,desktop,BR,Email,12,1,0,0,Standard,0
278,B,2024-07-18,desktop,US,Referral,9,1,1,0,Standard,12.00
279,A,2024-11-21,mobile,IN,Organic,3,1,0,0,Pro,0
280,A,2024-11-13,desktop,US,Referral,9,1,0,0,Standard,0
281,A,2024-01-19,mobile,DE,Paid Search,5,1,0,0,Standard,0
282,A,2024-03-17,mobile,US,Social,8,1,0,0,Pro,0
283,B,2024-04-08,desktop,US,Paid Search,9,1,0,0,Pro,0
284,B,2024-04-13,desktop,CA,Organic,5,1,1,1,Standard,108.00
285,B,2024-08-10,mobile,US,Paid Search,13,1,0,0,Pro,0
286,A,2024-06-15,desktop,BR,Social,5,1,0,0,Standard,0
287,A,2024-01-22,mobile,DE,Referral,4,1,1,1,Standard,132.00
288,B,2024-05-30,desktop,DE,Referral,22,0,0,0,NULL,0
289,B,2024-07-24,desktop,NULL,Paid Search,13,1,0,0,Standard,0
290,B,2024-02-13,mobile,US,Organic,6,1,1,1,Pro,264.00
291,A,2024-11-07,desktop,CA,Organic,12,1,0,0,Standard,0
292,A,2024-01-23,mobile,IN,Referral,6,1,1,1,Pro,264.00
293,A,2024-12-07,mobile,CA,Paid Search,14,0,0,0,NULL,0
294,A,2024-02-12,mobile,UK,Referral,10,1,1,0,Standard,12.00
295,B,2024-11-11,mobile,DE,Organic,6,1,0,0,Standard,0
296,A,2024-11-29,desktop,CA,Email,7,1,1,1,Standard,12.00
297,B,2024-12-24,mobile,UK,Organic,3,1,0,0,Pro,0
298,A,2024-10-28,mobile,UK,Paid Search,15,1,0,0,Standard,0
299,A,2024-10-21,desktop,CA,Paid Search,13,1,0,0,Standard,0
300,A,2024-09-04,mobile,IN,Paid Search,10,1,0,0,Standard,0
301,B,2024-10-20,mobile,IN,Paid Search,6,1,0,0,Standard,0
302,A,2024-02-27,mobile,BR,Social,14,0,0,0,NULL,0
303,A,2024-07-29,desktop,CA,Social,7,1,0,0,Standard,0
304,B,2024-07-21,desktop,DE,Paid Search,8,1,0,0,Pro,0
305,A,2024-11-15,mobile,UK,Social,10,1,1,1,Standard,24.00
306,B,2024-07-03,mobile,US,Paid Search,6,0,0,0,NULL,0
307,A,2024-06-04,mobile,BR,Social,12,1,0,0,Standard,0
308,A,2024-09-03,desktop,US,Paid Search,9,1,0,0,Standard,0
309,B,2024-04-19,mobile,US,Organic,11,1,1,1,Pro,216.00
310,B,2024-02-29,mobile,US,Social,4,0,0,0,NULL,0
311,B,2024-07-08,mobile,UK,Paid Search,16,1,0,0,Standard,0
312,B,2024-06-16,mobile,IN,Paid Search,10,1,1,0,Standard,12.00
313,A,2024-04-06,desktop,IN,Social,5,0,0,0,NULL,0
314,B,2024-05-28,desktop,UK,Referral,10,1,1,1,Standard,84.00
315,A,2024-05-28,mobile,DE,Social,13,1,0,0,Pro,0
316,B,2024-05-13,desktop,US,Referral,10,1,0,0,Standard,0
317,A,2024-06-02,desktop,CA,Paid Search,11,1,0,0,Pro,0
318,A,2024-09-19,mobile,IN,Referral,5,1,0,0,Pro,0
319,B,2024-05-01,mobile,DE,Social,8,1,0,0,Standard,0
320,A,2024-12-14,mobile,US,Paid Search,12,1,1,0,Standard,12.00
321,A,2024-12-04,mobile,US,Paid Search,12,1,1,1,Standard,12.00
322,A,2024-07-09,desktop,US,Referral,5,0,0,0,NULL,0
323,B,2024-05-13,mobile,US,Social,10,0,0,0,NULL,0
324,A,2024-07-29,desktop,UK,Organic,8,1,1,0,Standard,12.00
325,A,2024-11-12,mobile,CA,Social,8,1,0,0,Pro,0
326,A,2024-09-08,desktop,IN,Paid Search,9,0,0,0,NULL,0
327,A,2024-10-29,desktop,DE,Organic,10,1,0,0,Pro,0
328,A,2024-07-28,mobile,UK,Social,6,1,0,0,Pro,0
329,A,2024-09-01,mobile,UK,Paid Search,13,1,1,1,Pro,96.00
330,A,2024-04-28,desktop,US,Organic,7,1,0,0,Standard,0
331,B,2024-10-06,mobile,BR,Referral,12,1,0,0,Pro,0
332,A,2024-03-25,mobile,IN,Organic,16,1,1,0,Standard,12.00
333,B,2024-09-22,mobile,BR,Social,11,1,1,1,Standard,36.00
334,B,2024-11-16,desktop,IN,Email,10,1,0,0,Standard,0
335,B,2024-02-26,mobile,IN,Referral,10,1,1,1,Standard,120.00
336,A,2024-08-26,mobile,UK,Social,7,1,0,0,Standard,0
337,B,2024-02-10,mobile,CA,Email,9,1,0,0,Standard,0
338,A,2024-10-02,desktop,US,Social,12,1,0,0,Standard,0
339,B,2024-02-06,mobile,BR,Social,15,1,1,1,Standard,132.00
340,A,2024-12-10,mobile,US,Paid Search,14,0,0,0,NULL,0
341,A,2024-02-28,mobile,US,Social,8,0,0,0,NULL,0
342,B,2024-12-17,mobile,US,Paid Search,8,1,1,0,Pro,24.00
343,A,2024-10-28,mobile,IN,Paid Search,6,0,0,0,NULL,0
344,A,2024-08-18,mobile,UK,Referral,7,1,0,0,Standard,0
345,B,2024-10-22,mobile,DE,Paid Search,7,1,1,1,Standard,24.00
346,A,2024-10-26,mobile,IN,Paid Search,16,1,1,0,Pro,24.00
347,A,2024-12-13,mobile,CA,Referral,15,1,0,0,Pro,0
348,A,2024-04-14,desktop,UK,Paid Search,6,1,1,1,Pro,216.00
349,A,2024-08-17,mobile,IN,Social,7,1,1,1,Pro,120.00
350,B,2024-02-10,desktop,IN,Email,14,1,0,0,Standard,0
351,A,2024-08-26,mobile,US,Social,4,0,0,0,NULL,0
352,B,2024-03-13,mobile,CA,Organic,6,0,0,0,NULL,0
353,B,2024-08-08,mobile,IN,Organic,9,0,0,0,NULL,0
354,A,2024-08-11,desktop,DE,Paid Search,6,1,0,0,Standard,0
355,A,2024-07-04,desktop,US,Referral,8,0,0,0,NULL,0
356,A,2024-07-24,mobile,US,Paid Search,14,1,1,0,Standard,12.00
357,A,2024-10-15,mobile,IN,Organic,5,0,0,0,NULL,0
358,B,2024-10-27,desktop,IN,Paid Search,5,0,0,0,NULL,0
359,B,2024-07-13,desktop,US,Email,8,0,0,0,NULL,0
360,B,2024-08-20,mobile,UK,Paid Search,6,0,0,0,NULL,0
361,A,2024-12-09,mobile,US,Organic,13,0,0,0,NULL,0
362,A,2024-02-20,mobile,IN,Paid Search,5,0,0,0,NULL,0
363,B,2024-02-19,desktop,IN,Organic,13,1,1,1,Pro,264.00
364,B,2024-02-07,mobile,US,Email,10,0,0,0,NULL,0
365,B,2024-09-10,desktop,UK,Paid Search,10,1,1,1,Standard,48.00
366,A,2024-06-16,desktop,IN,Paid Search,12,1,0,0,Standard,0
367,B,2024-10-19,desktop,CA,Paid Search,7,0,0,0,NULL,0
368,B,2024-09-14,mobile,CA,Referral,13,1,0,0,Standard,0
369,A,2024-05-15,mobile,CA,Referral,9,0,0,0,NULL,0
370,B,2024-11-28,desktop,US,Social,8,1,0,0,Standard,0
371,A,2024-10-15,desktop,CA,Social,8,0,0,0,NULL,0
372,A,2024-04-21,mobile,UK,Paid Search,7,1,0,0,Pro,0
373,A,2024-05-27,mobile,BR,Email,18,0,0,0,NULL,0
374,B,2024-05-08,mobile,UK,Social,12,0,0,0,NULL,0
375,B,2024-03-07,mobile,US,Referral,10,1,0,0,Standard,0
376,B,2024-03-03,mobile,IN,Organic,6,1,0,0,Standard,0
377,A,2024-12-10,mobile,UK,Social,11,1,0,0,Pro,0
378,B,2024-06-24,desktop,BR,Referral,10,1,0,0,Standard,0
379,B,2024-06-03,desktop,US,Organic,10,0,0,0,NULL,0
380,B,2024-10-04,mobile,US,Paid Search,8,0,0,0,NULL,0
381,A,2024-08-04,mobile,DE,Referral,10,1,0,0,Pro,0
382,A,2024-12-10,mobile,UK,Organic,6,1,1,0,Standard,12.00
